treatment,outcome,method,ate,se,ci_lower,ci_upper,p_value,significant
combat_advice,sr_change,regression,-0.0003227207926120149,0.00028916556992187296,-0.0010578263977753285,2.4571263449788554e-06,0.064,False
combat_advice,sr_change,ps_matching,-6.568144499178944e-05,3.924935113713404e-05,-0.00014261017322057215,1.1247283236993276e-05,0.09441193352474642,False
combat_advice,sr_change,ipw,-0.00030558952085654154,0.000270932258361898,-0.0008752711193423715,2.1543264759904854e-05,0.112,False
combat_advice,sr_change,doubly_robust,-0.00029376938228106296,0.00025454060116530215,-0.0007926689605650552,0.00020513019600292926,0.2484526116046708,False
combat_advice,hp_change,naive,-0.09856338375194507,0.06533905803601707,-0.2266279375025385,0.02950116999864838,0.09487517174932189,False
combat_advice,hp_change,regression,0.015956698746492193,0.05923586770934045,-0.07951572577153769,0.14658515946433534,0.816,False
combat_advice,hp_change,ps_matching,-0.10147783251231526,0.06148709947885722,-0.2219925474908754,0.01903688246624488,0.09903471049121282,False
combat_advice,hp_change,ipw,0.06148600759815414,0.12506155897889099,-0.11037164829223166,0.3347885194384731,0.712,False
combat_advice,hp_change,doubly_robust,0.27605016319992703,0.10207241339046035,0.07598823295462476,0.4761120934452293,0.006841670835663782,True
combat_advice,positive_reward_rate,naive,0.00037764350453172205,0.00028141506270859356,-0.00017393001837712131,0.0009292170274405654,0.3628790865646834,False
combat_advice,positive_reward_rate,regression,0.00042314478976176263,0.00017508018643775161,0.0,0.0006392928526621947,0.232,False
combat_advice,positive_reward_rate,ps_matching,0.0005473453749315818,0.0005471955609490488,-0.0005251579245285539,0.0016198486743917175,0.31731056226113563,False
combat_advice,positive_reward_rate,ipw,0.00040370687925769556,0.00030107140300470966,0.0,0.0010768790814993376,0.232,False
combat_advice,positive_reward_rate,doubly_robust,0.00040318310037924413,0.0002245521981017917,-3.693920790026763e-05,0.0008433054086587558,0.0725743359770128,False
