advice_episode,start_step,episode_length,llm_advice_text,advice_category,advice_specificity,advice_urgency,num_suggestions,has_json_advice,combat_mentioned,survival_mentioned,exploration_mentioned,hp_before,level_before,reward_before,sr_before,critical_hp_before,low_hp_before,reward_ma5_before,hp_ma5_before,reward_trend_before,total_reward,avg_reward,max_reward,min_reward,reward_std,sr_change,hp_change,level_gained,positive_reward_rate,negative_reward_rate,survived,unique_actions,action_entropy,high_quality_advice,specific_advice,combat_advice
19,0,1,kill kobold north for XP and gold,combat,3,2,3,1,1,0,0,100.0,1,-0.01,0.0,0,0,-0.006,100.0,4.750735894131343e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
20,0,1,descend stairs and fight kobold,combat,1,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.003999999999999999,100.0,-6.334314525508457e-19,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
21,0,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.003999999999999999,100.0,0.0020000000000000005,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
22,0,1,kill orc for XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,0.0,0,0,-0.004,100.0,-0.0009999999999999998,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
23,0,1,descend stairs and fight kobold west,combat,2,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,0.0010000000000000007,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,1,1,1
24,0,1,kill orc and collect gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,0.0,0,0,-0.004,100.0,-0.0019999999999999996,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
25,0,1,avoid kobold north and west threats,defensive,3,2,3,1,0,1,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,-6.334314525508457e-19,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,1,1,0
26,0,1,kill orc to gain XP and progress,combat,1,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,0.0020000000000000005,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
27,0,1,avoid kobold threat,defensive,2,2,3,1,0,1,0,100.0,1,-0.01,0.0,0,0,-0.004,100.0,-0.0009999999999999998,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,0
28,0,1,kill kobold to gain XP and gold,combat,2,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,0.0010000000000000007,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,1,1,1
29,0,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,2,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.002,100.0,-3.1671572627542286e-19,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
30,0,1,Combat weak monsters when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.002,100.0,0.0009999999999999992,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
31,0,1,descend stairs and gain XP,other,0,2,3,1,0,0,0,100.0,1,-0.01,0.0,0,0,-0.004,100.0,9.501471788262687e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
32,5,1,kill orc for XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.004,100.0,-0.0029999999999999996,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
33,5,1,descend stairs to progress deeper and gain experience,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.006,100.0,-0.0029999999999999996,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
34,5,1,clear single goal that maximizes reward,other,0,2,3,1,0,0,0,100.0,1,-0.01,0.0,0,0,-0.008,100.0,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
35,5,1,avoid orc threat,defensive,1,2,3,1,0,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
36,5,1,,none,0,0,0,0,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
37,5,1,kill kobold to gain XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
38,5,1,avoid kobold threat,defensive,2,2,3,1,0,1,0,100.0,1,0.0,0.01,0,0,-0.008,100.0,0.001999999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,1,1,0
39,5,1,kill kobold to gain XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,0.0010000000000000005,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
40,5,1,combat kobold north,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,9.501471788262687e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
41,5,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.0009999999999999987,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
42,5,1,descend stairs and fight kobolds to gain XP,combat,1,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
43,5,1,avoid kobold north and west threats,defensive,3,2,3,1,0,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,0
44,5,1,descend stairs and gain XP,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
45,5,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,2,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
46,5,1,descend stairs,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
47,5,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,2,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.008,100.0,0.001999999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
48,5,1,kill orc and collect gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,0.0010000000000000005,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
49,5,1,Combat weak monsters when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.006,100.0,0.0019999999999999996,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
50,5,1,clear single goal that maximizes reward,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.006,100.0,4.750735894131343e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
51,5,1,descend stairs,other,0,2,3,1,0,0,0,100.0,1,0.0,0.01,0,0,-0.003999999999999999,100.0,-6.334314525508457e-19,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
52,5,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,2,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.006,100.0,4.750735894131343e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
53,5,1,kill kobold north for XP and gold,combat,3,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,-6.334314525508457e-19,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,1,1,1
54,5,1,descend stairs and fight kobold,combat,1,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.006,100.0,4.750735894131343e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
55,5,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.006,100.0,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
56,5,1,descend stairs and fight kobold west,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.0009999999999999987,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
57,5,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,2,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
58,5,1,kill orc to gain XP and progress,combat,1,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.008,100.0,0.001999999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
59,5,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,0.0010000000000000005,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
60,5,1,Combat weak monsters when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,9.501471788262687e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
61,5,1,descend stairs and fight kobold,combat,1,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.0009999999999999987,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
62,5,1,kill orc for XP and gold,combat,2,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.006,100.0,-1.2668629051016915e-18,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,1,1,1
63,5,1,kill orc and collect gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,0.0010000000000000005,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
64,10,1,descend stairs and fight kobolds to gain XP,combat,1,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,9.501471788262687e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
65,10,1,kill orc and collect gold,combat,2,2,3,1,1,0,0,85.7,1,-0.01,-0.01,0,1,-0.008,97.14,-0.0009999999999999987,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
66,10,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.008,97.14,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
67,10,1,combat kobold north,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,97.14,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
68,10,1,descend stairs and fight kobold,combat,1,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,97.14,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
69,10,2,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,97.14,3.1671572627542286e-19,-0.02,-0.01,-0.01,-0.01,0.0,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
70,10,1,descend stairs and gain XP,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
71,10,1,Combat weak monsters when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
72,10,1,avoid kobold threat,defensive,2,2,3,1,0,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,0
73,10,1,avoid kobold north and west threats,defensive,3,2,3,1,0,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,0
74,10,1,descend stairs and fight kobold west,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
75,10,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,2,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
76,10,1,kill orc for XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
77,10,1,descend stairs,other,0,2,3,1,0,0,0,100.0,1,0.0,0.01,0,0,-0.008,100.0,0.001999999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
78,10,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,2,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,0.0010000000000000005,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
79,10,1,,none,0,0,0,0,0,0,0,100.0,1,0.0,0.01,0,0,-0.006,100.0,0.0019999999999999996,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
80,10,1,clear single goal that maximizes reward,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.006,100.0,4.750735894131343e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
81,10,1,kill orc to gain XP and progress,combat,1,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.006,100.0,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
82,10,1,kill kobold to gain XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.0009999999999999987,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
83,10,1,kill orc for XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
84,10,1,kill kobold north for XP and gold,combat,3,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
85,10,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
86,10,1,kill kobold to gain XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
87,10,1,descend stairs,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
88,10,1,kill orc and collect gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
89,10,1,clear single goal that maximizes reward,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
90,10,1,Combat weak monsters when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
91,10,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,2,1,1,1,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
92,10,1,descend stairs and fight kobold,combat,1,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.008,100.0,0.001999999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
93,10,1,avoid orc threat,defensive,1,2,3,1,0,1,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,0.0010000000000000005,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
94,10,1,descend stairs to progress deeper and gain experience,other,0,2,3,1,0,0,0,100.0,1,0.0,0.0,0,0,-0.006,100.0,0.0019999999999999996,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
95,15,1,kill kobold to gain XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.015,0,0,-0.006,100.0,4.750735894131343e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
96,15,1,avoid kobold north and west threats,defensive,3,2,3,1,0,1,0,100.0,1,-0.01,-0.015,0,0,-0.006,100.0,-0.002,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,0
97,15,1,descend stairs to progress deeper and gain experience,other,0,2,3,1,0,0,0,100.0,1,-0.01,-0.01,0,0,-0.008,100.0,-0.0009999999999999987,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
98,15,3,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,-0.01,-0.015,0,0,-0.008,100.0,-0.002,-0.03,-0.01,-0.01,-0.01,0.0,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
99,15,1,kill orc for XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,-0.01,0,0,-0.01,100.0,3.1671572627542286e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
