step,action,reward,smoothed_reward,hp,level,llm_advice,llm_data,llm_priority,llm_risk,llm_strategy,llm_suggestions,action_in_suggestions,hp_change,reward_change,sr_change,level_up,hp_lag1,reward_lag1,sr_lag1,reward_ma5,hp_ma5,reward_std5,advice_category,action_category,critical_hp,low_hp,high_hp,steps_since_advice_change,reward_momentum,episode_stage
15,drop,-0.01,-0.01,1033.3,14,Search the area for items and potential threats,,,,,[],False,608.3,0.0,0.01,1,425.0,-0.01,-0.02,-0.008,602.12,0.00447213595499958,survival,inventory,0,0,1,0,-5.782411586589357e-19,early
15,move_northwest,0.0,0.011,60.0,14,Eat something to recover health,,,,,[],False,-973.3,0.01,0.020999999999999998,0,1033.3,-0.01,-0.01,-0.006,438.12,0.005477225575051661,survival,move,0,1,0,0,0.0,early
20,kick,0.0,0.012,325.0,14,Search the area for items and potential threats,,,,,[],False,265.0,0.0,0.0010000000000000009,0,60.0,0.0,0.011,-0.004,447.12,0.005477225575051661,survival,interaction,0,0,1,0,0.010666666666666666,early
20,move_southeast,-0.01,-0.009,162.5,14,Eat something to recover health,,,,,[],False,-162.5,-0.01,-0.020999999999999998,0,325.0,0.0,0.012,-0.006,401.15999999999997,0.005477225575051661,survival,move,0,0,1,0,0.00033333333333333365,early
20,read,-0.01,-0.01,700.0,16,Search the area for items and potential threats,,,,,[],False,537.5,0.0,-0.0010000000000000009,1,162.5,-0.01,-0.009,-0.006,456.16,0.005477225575051661,survival,item_use,0,0,1,0,-0.006999999999999999,early
20,move_west,-0.01,-0.01,377.8,12,Search for items and clues to progress deeper,,,,,[],False,-322.2,0.0,0.0,0,700.0,-0.01,-0.01,-0.006,325.06,0.005477225575051661,exploration,move,0,0,1,0,-0.007333333333333333,early
20,open_door,0.0,0.001,1733.3,14,Search the area for items and potential threats,,,,,[],False,1355.5,0.01,0.011,1,377.8,-0.01,-0.01,-0.006,659.72,0.005477225575051661,survival,interaction,0,0,1,0,0.0033333333333333327,early
20,apply,-0.01,-0.01,33.3,14,Search the area for items and clues to gain more information about your surroundings.,,,,,[],False,-1700.0,-0.01,-0.011,0,1733.3,0.0,0.001,-0.008,601.38,0.00447213595499958,exploration,item_use,1,1,0,0,0.0,early
25,drink,0.0,0.008,2600.0,14,Search the area for items and potential threats,,,,,[],False,2566.7,0.01,0.018000000000000002,0,33.3,-0.01,-0.01,-0.006,1088.8799999999999,0.005477225575051661,survival,item_use,0,0,1,0,0.006000000000000001,early
25,wear,-0.01,-0.01,600.0,16,Search the area for items and potential threats,,,,,[],False,-2000.0,-0.01,-0.018000000000000002,1,2600.0,0.0,0.008,-0.006,1068.8799999999999,0.005477225575051661,survival,equipment,0,0,1,1,-0.0036666666666666666,early
25,wield,0.0,0.0,425.0,12,Search for items and clues to progress deeper,,,,,[],False,-175.0,0.01,0.01,0,600.0,-0.01,-0.01,-0.003999999999999999,1078.3200000000002,0.005477225575051661,exploration,equipment,0,0,1,0,0.0033333333333333335,early
25,move_south,0.0,0.01,40.0,14,Search the area for items and clues to gain more information about your surroundings.,,,,,[],False,-385.0,0.0,0.01,1,425.0,0.0,0.0,-0.003999999999999999,739.6600000000001,0.005477225575051661,exploration,move,1,1,0,0,0.0006666666666666661,early
25,move_southwest,-0.01,-0.01,325.0,14,Eat something to regain health,,,,,[],False,285.0,-0.01,-0.02,0,40.0,0.0,0.01,-0.004,798.0,0.005477225575051661,survival,move,0,0,1,0,0.0,early
25,drink,-0.01,-0.01,162.5,14,Eat something to recover health,,,,,[],False,-162.5,0.0,0.0,0,325.0,-0.01,-0.01,-0.006,310.5,0.005477225575051661,survival,item_use,0,0,1,0,-0.0033333333333333335,early
30,search,-0.01,-0.01,283.3,14,Search for items and potential threats,,,,,[],False,120.80000000000001,0.0,0.0,0,162.5,-0.01,-0.01,-0.006,247.16,0.005477225575051661,survival,exploration,0,0,1,0,-0.006666666666666667,early
30,move_southeast,0.0,0.001,1733.3,14,Search the area for items and potential threats,,,,,[],False,1450.0,0.01,0.011,0,283.3,-0.01,-0.01,-0.006,508.82,0.005477225575051661,survival,move,0,0,1,0,0.0036666666666666666,early
30,eat,-0.01,-0.01,331.2,14,Eat something to regain health,,,,,[],False,-1402.1,-0.01,-0.011,0,1733.3,0.0,0.001,-0.008,567.06,0.00447213595499958,survival,item_use,0,0,1,0,0.0,early
30,pickup,0.0,0.001,366.7,12,Search the area for potential threats and items,,,,,[],False,35.5,0.01,0.011,0,331.2,-0.01,-0.01,-0.006,575.4,0.005477225575051661,survival,inventory,0,0,1,0,0.0036666666666666666,early
30,kick,-0.01,-0.01,75.0,14,Eat something to regain health,,,,,[],False,-291.7,-0.01,-0.011,1,366.7,0.0,0.001,-0.006,557.9,0.005477225575051661,survival,interaction,0,1,0,0,-0.0036666666666666666,early
30,move_northwest,-0.01,-0.01,600.0,16,Eat something to restore health,,,,,[],False,525.0,0.0,0.0,1,75.0,-0.01,-0.01,-0.006,621.24,0.005477225575051661,survival,move,0,0,1,0,0.0,early
35,take_off,-0.01,-0.01,320.0,14,Search for items and potential threats,,,,,[],False,-280.0,0.0,0.0,0,600.0,-0.01,-0.01,-0.008,338.58000000000004,0.00447213595499958,survival,equipment,0,0,1,0,-0.0036666666666666666,early
35,wait,-0.01,-0.01,320.0,12,Search the area for potential threats and items,,,,,[],False,0.0,0.0,0.0,0,320.0,-0.01,-0.01,-0.008,336.34,0.00447213595499958,survival,other,0,0,1,0,0.0,early
35,search,0.0,0.01,318.8,14,Search the area for items and potential threats,,,,,[],False,-1.1999999999999886,0.01,0.02,1,320.0,-0.01,-0.01,-0.008,326.76000000000005,0.00447213595499958,survival,exploration,0,0,1,0,0.006666666666666667,early
35,move_east,0.0,0.001,2600.0,14,Search the area for items and potential threats,,,,,[],False,2281.2,0.0,-0.009000000000000001,0,318.8,0.0,0.01,-0.006,831.76,0.005477225575051661,survival,move,0,0,1,1,0.0036666666666666666,early
35,drink,0.0,0.008,800.0,16,Eat something to restore health,,,,,[],False,-1800.0,0.0,0.007,1,2600.0,0.0,0.001,-0.003999999999999999,871.76,0.005477225575051661,survival,item_use,0,0,1,0,0.005999999999999999,early
35,read,-0.01,-0.01,75.0,14,Eat something to regain health,,,,,[],False,-725.0,-0.01,-0.018000000000000002,0,800.0,0.0,0.008,-0.004,822.76,0.005477225575051661,survival,item_use,0,1,0,0,-0.006666666666666668,early
40,move_east,-0.01,-0.009,340.0,14,Search the area for items and potential threats,,,,,[],False,265.0,0.0,0.0010000000000000009,0,75.0,-0.01,-0.01,-0.004,826.76,0.005477225575051661,survival,move,0,0,1,0,-0.003333333333333334,early
40,move_southeast,0.0,0.001,585.7,16,Search the area for items and clues,,,,,[],False,245.70000000000005,0.01,0.009999999999999998,1,340.0,-0.01,-0.009,-0.004,880.14,0.005477225575051661,exploration,move,0,0,1,0,-0.0023333333333333344,early
40,move_south,-0.01,-0.01,320.0,14,Eat something to recover health,,,,,[],False,-265.70000000000005,-0.01,-0.011,0,585.7,0.0,0.001,-0.006,424.14,0.005477225575051661,survival,move,0,0,1,0,0.0,early
40,move_southeast,-0.01,-0.01,866.7,14,Search the area for items and potential threats,,,,,[],False,546.7,0.0,0.0,0,320.0,-0.01,-0.01,-0.008,437.48,0.00447213595499958,survival,move,0,0,1,0,-0.00033333333333333365,early
40,move_north,-0.01,-0.02,75.0,14,Eat to regain health,,,,,[],False,-791.7,0.0,-0.01,0,866.7,-0.01,-0.01,-0.008,437.48,0.00447213595499958,survival,move,0,1,0,0,-0.006999999999999999,early
40,throw,-0.01,-0.01,228.6,12,Search the area for items and clues,,,,,[],False,153.6,0.0,0.01,0,75.0,-0.01,-0.02,-0.008,415.2,0.00447213595499958,exploration,other,0,0,1,0,0.0,early
45,wait,-0.01,-0.02,320.0,14,Eat something to recover health,,,,,[],False,91.4,0.0,-0.01,1,228.6,-0.01,-0.01,-0.01,362.06000000000006,0.0,survival,other,0,0,1,0,-0.0033333333333333335,early
45,move_north,-0.01,-0.01,700.0,16,Search the area for items and clues,,,,,[],False,380.0,0.0,0.01,1,320.0,-0.01,-0.02,-0.01,438.06000000000006,0.0,exploration,move,0,0,1,0,0.0033333333333333335,early
45,move_southeast,-0.01,-0.01,866.7,14,Search the area for hidden dangers and potential items,,,,,[],False,166.70000000000005,0.0,0.0,0,700.0,-0.01,-0.01,-0.01,438.06000000000006,0.0,exploration,move,0,0,1,0,0.0,early
45,take_off,-0.01,-0.01,331.2,14,Search the area for items and potential threats,,,,,[],False,-535.5,0.0,0.0,0,866.7,-0.01,-0.01,-0.01,489.3,0.0,survival,equipment,0,0,1,0,0.0033333333333333335,early
45,wait,-0.01,-0.01,100.0,14,Eat to regain health,,,,,[],False,-231.2,0.0,0.0,0,331.2,-0.01,-0.01,-0.01,463.58000000000004,0.0,survival,other,0,0,0,0,0.0,early
45,apply,-0.01,-0.01,206.7,12,Search the area for items and clues,,,,,[],False,106.69999999999999,0.0,0.0,0,100.0,-0.01,-0.01,-0.01,440.9200000000001,0.0,exploration,item_use,0,0,1,0,0.0,early
50,move_northeast,0.0,-0.001,100.0,14,Pick up the lock pick to gain a potential advantage,,,,,[],False,-106.69999999999999,0.01,0.009000000000000001,1,206.7,-0.01,-0.01,-0.008000000000000002,320.92,0.00447213595499958,other,move,0,0,0,0,0.0030000000000000005,early
50,move_north,-0.01,-0.01,600.0,16,Search the area for potential items and clues,,,,,[],False,500.0,-0.01,-0.009000000000000001,1,100.0,0.0,-0.001,-0.008,267.58000000000004,0.00447213595499958,exploration,move,0,0,1,0,0.0,early
50,wear,-0.01,-0.01,331.2,14,Search the area for items and potential threats,,,,,[],False,-268.8,0.0,0.0,0,600.0,-0.01,-0.01,-0.008,267.58,0.00447213595499958,survival,equipment,0,0,1,0,0.0,early
50,wear,-0.01,-0.01,206.7,12,Search the area for items and potential threats,,,,,[],False,-124.5,0.0,0.0,0,331.2,-0.01,-0.01,-0.008,288.91999999999996,0.00447213595499958,survival,equipment,0,0,1,1,-0.0030000000000000005,early
50,move_east,-0.01,-0.009,2800.0,14,Search the area for hidden dangers and potential items,,,,,[],False,2593.3,0.0,0.0010000000000000009,1,206.7,-0.01,-0.01,-0.008,807.58,0.00447213595499958,exploration,move,0,0,1,0,0.00033333333333333365,early
50,drop,-0.01,-0.01,283.3,14,Search the area for potential threats and items,,,,,[],False,-2516.7,0.0,-0.0010000000000000009,0,2800.0,-0.01,-0.009,-0.01,844.24,0.0,survival,inventory,0,0,1,0,0.0,early
55,throw,-0.01,-0.01,228.6,12,Search the area for items and potential threats,,,,,[],False,-54.70000000000002,0.0,0.0,0,283.3,-0.01,-0.01,-0.01,769.96,0.0,survival,other,0,0,1,0,0.0,early
55,wait,0.0,0.0,2850.0,14,Investigate the recent message and provide a direction,,,,,[],False,2621.4,0.01,0.01,1,228.6,-0.01,-0.01,-0.008000000000000002,1273.72,0.00447213595499958,other,other,0,0,1,0,0.0029999999999999996,early
55,move_southeast,-0.01,-0.02,331.2,14,Eat something to restore health,,,,,[],False,-2518.8,-0.01,-0.02,0,2850.0,0.0,0.0,-0.008,1298.6200000000001,0.00447213595499958,survival,move,0,0,1,0,-0.0033333333333333335,early
55,move_northwest,-0.01,-0.01,100.0,14,Pick up the lock pick to gain a potential advantage,,,,,[],False,-231.2,0.0,0.01,0,331.2,-0.01,-0.02,-0.008,758.62,0.00447213595499958,other,move,0,0,0,0,0.0,early
55,move_west,0.0,0.01,571.4,16,Search the area for potential items and clues,,,,,[],False,471.4,0.01,0.02,1,100.0,-0.01,-0.01,-0.006,816.24,0.005477225575051661,exploration,move,0,0,1,0,0.0033333333333333335,early
55,apply,-0.01,-0.01,283.3,14,Search the area for potential threats and items,,,,,[],False,-288.09999999999997,-0.01,-0.02,0,571.4,0.0,0.01,-0.006,827.18,0.005477225575051661,survival,item_use,0,0,1,0,0.0033333333333333327,early
60,move_east,-0.01,-0.01,246.2,12,Search the area for potential items and threats,,,,,[],False,-37.10000000000002,0.0,0.0,0,283.3,-0.01,-0.01,-0.008,306.41999999999996,0.00447213595499958,survival,move,0,0,1,0,5.782411586589357e-19,early
60,move_northwest,0.0,0.011,1160.0,14,Investigate the recent message and provide a direction,,,,,[],False,913.8,0.01,0.020999999999999998,1,246.2,-0.01,-0.01,-0.006,472.17999999999995,0.005477225575051661,other,move,0,0,1,0,0.00033333333333333365,early
60,move_northeast,0.0,0.009,140.0,14,Search the area for potential threats and items,,,,,[],False,-1020.0,0.0,-0.002,0,1160.0,0.0,0.011,-0.004,480.17999999999995,0.005477225575051661,survival,move,0,0,0,0,0.006333333333333332,early
60,search,-0.01,-0.01,571.4,16,Eat something to regain health,,,,,[],False,431.4,-0.01,-0.019,1,140.0,0.0,0.009,-0.006,480.18,0.005477225575051661,survival,exploration,0,0,1,0,0.0,early
60,throw,-0.01,-0.01,100.0,14,Search the area for potential threats and items,,,,,[],False,-471.4,0.0,0.0,0,571.4,-0.01,-0.01,-0.006,443.52,0.005477225575051661,survival,other,0,0,0,0,-0.006999999999999999,early
60,move_west,-0.01,-0.02,331.2,14,Eat something to restore health,,,,,[],False,231.2,0.0,-0.01,0,100.0,-0.01,-0.01,-0.006,460.52,0.005477225575051661,survival,move,0,0,1,0,-0.009666666666666665,early
65,move_southeast,-0.01,-0.01,246.2,12,Search the area for potential items and threats,,,,,[],False,-85.0,0.0,0.01,0,331.2,-0.01,-0.02,-0.008,277.76,0.00447213595499958,survival,move,0,0,1,0,0.0,early
65,take_off,-0.01,-0.01,571.4,16,Eat something to regain health,,,,,[],False,325.2,0.0,0.0,1,246.2,-0.01,-0.01,-0.01,364.03999999999996,0.0,survival,equipment,0,0,1,0,0.0,early
65,wear,-0.01,-0.01,133.3,14,Search the area for potential threats and items,,,,,[],False,-438.09999999999997,0.0,0.0,0,571.4,-0.01,-0.01,-0.01,276.41999999999996,0.0,survival,equipment,0,0,0,0,0.0033333333333333335,early
65,pickup,-0.01,-0.01,100.0,14,Search the area for potential threats and items,,,,,[],False,-33.30000000000001,0.0,0.0,0,133.3,-0.01,-0.01,-0.01,276.41999999999996,0.0,survival,inventory,0,0,0,1,0.0,early
65,kick,-0.01,-0.01,1016.7,14,Search the area for items and clues to gain more experience,,,,,[],False,916.7,0.0,0.0,0,100.0,-0.01,-0.01,-0.01,413.5200000000001,0.0,exploration,interaction,0,0,1,0,0.0,early
65,wield,-0.01,-0.01,430.8,14,Eat something to recover health,,,,,[],False,-585.9000000000001,0.0,0.0,0,1016.7,-0.01,-0.01,-0.01,450.44000000000005,0.0,survival,equipment,0,0,1,0,0.0,early
70,move_northeast,0.0,0.009,633.3,16,Search the area for potential items and clues,,,,,[],False,202.49999999999994,0.01,0.019,1,430.8,-0.01,-0.01,-0.008,462.82,0.00447213595499958,exploration,move,0,0,1,0,0.006333333333333333,early
70,pickup,0.0,0.01,400.0,14,Eat something to regain health,,,,,[],False,-233.29999999999995,0.0,0.0010000000000000009,0,633.3,0.0,0.009,-0.006,516.1600000000001,0.005477225575051661,survival,inventory,0,0,1,0,0.006666666666666667,early
70,open_door,-0.01,-0.02,100.0,14,Search the area for potential items and threats,,,,,[],False,-300.0,-0.01,-0.03,0,400.0,0.0,0.01,-0.006,516.1600000000001,0.005477225575051661,survival,interaction,0,0,0,0,-0.0033333333333333327,early
70,move_east,-0.01,-0.01,1033.3,14,Search the area for items and clues to gain more experience,,,,,[],False,933.3,0.0,0.01,0,100.0,-0.01,-0.02,-0.006,519.4799999999999,0.005477225575051661,exploration,move,0,0,1,0,-0.006333333333333332,early
70,search,-0.01,-0.01,228.6,12,Eat something to recover health,,,,,[],False,-804.6999999999999,0.0,0.0,0,1033.3,-0.01,-0.01,-0.006,479.03999999999996,0.005477225575051661,survival,exploration,0,0,1,0,-0.006666666666666665,early
70,eat,0.0,0.0,466.7,14,Eat something to recover health,,,,,[],False,238.1,0.01,0.01,1,228.6,-0.01,-0.01,-0.006,445.71999999999997,0.005477225575051661,survival,item_use,0,0,1,1,0.006666666666666667,early
75,open_door,0.0,0.007,875.0,16,Search the area for potential items and clues,,,,,[],False,408.3,0.0,0.007,1,466.7,0.0,0.0,-0.006,540.72,0.005477225575051661,exploration,interaction,0,0,1,0,0.005666666666666667,early
75,read,-0.01,-0.01,1180.0,14,Search the area for items and potential threats,,,,,[],False,305.0,-0.01,-0.017,0,875.0,0.0,0.007,-0.006,756.72,0.005477225575051661,survival,item_use,0,0,1,0,0.0,early
75,eat,-0.01,-0.01,228.6,12,Eat something to recover health,,,,,[],False,-951.4,0.0,0.0,0,1180.0,-0.01,-0.01,-0.006,595.78,0.005477225575051661,survival,item_use,0,0,1,0,-0.0033333333333333335,early
75,open_door,-0.01,-0.02,100.0,14,Search the area for potential items and threats,,,,,[],False,-128.6,0.0,-0.01,1,228.6,-0.01,-0.01,-0.006,570.06,0.005477225575051661,survival,interaction,0,0,0,0,-0.009000000000000001,early
75,pickup,-0.01,-0.01,500.0,14,Search the area for potential threats and items,,,,,[],False,400.0,0.0,0.01,0,100.0,-0.01,-0.02,-0.008,576.72,0.00447213595499958,survival,inventory,0,0,1,0,0.0,early
75,move_east,0.0,0.011,116.7,14,Eat something to regain health,,,,,[],False,-383.3,0.01,0.020999999999999998,0,500.0,-0.01,-0.01,-0.008,425.06000000000006,0.00447213595499958,survival,move,0,0,0,0,0.006999999999999999,early
80,move_south,0.0,0.0,1160.0,14,Search the area for items and potential threats,,,,,[],False,1043.3,0.0,-0.011,0,116.7,0.0,0.011,-0.006,421.06000000000006,0.005477225575051661,survival,move,0,0,1,0,0.006666666666666667,early
80,apply,-0.01,-0.01,177.8,14,Search for items and potential threats,,,,,[],False,-982.2,-0.01,-0.01,0,1160.0,0.0,0.0,-0.006,410.9,0.005477225575051661,survival,item_use,0,0,1,0,-5.782411586589357e-19,early
80,wear,-0.01,-0.01,250.0,14,Search the area for potential items and clues,,,,,[],False,72.19999999999999,0.0,0.0,0,177.8,-0.01,-0.01,-0.006,440.9,0.005477225575051661,exploration,equipment,0,0,1,0,-0.006999999999999999,early
80,pickup,-0.01,-0.01,633.3,16,Search the area for potential threats and items,,,,,[],False,383.29999999999995,0.0,0.0,1,250.0,-0.01,-0.01,-0.006,467.56000000000006,0.005477225575051661,survival,inventory,0,0,1,0,-0.0033333333333333327,early
80,move_northwest,-0.01,-0.01,500.0,14,Search the area for potential threats and items,,,,,[],False,-133.29999999999995,0.0,0.0,0,633.3,-0.01,-0.01,-0.008,544.2199999999999,0.00447213595499958,survival,move,0,0,1,1,0.0,early
80,move_southeast,-0.01,-0.02,228.6,12,Eat to regain health,,,,,[],False,-271.4,0.0,-0.01,0,500.0,-0.01,-0.01,-0.01,357.93999999999994,0.0,survival,move,0,0,1,0,-0.0033333333333333327,early
85,wear,-0.01,-0.01,200.0,14,Search the area for potential items and clues,,,,,[],False,-28.599999999999994,0.0,0.01,1,228.6,-0.01,-0.02,-0.01,362.38,0.0,exploration,equipment,0,0,1,0,5.782411586589357e-19,early
85,search,-0.01,-0.01,177.8,14,Search for items and potential threats,,,,,[],False,-22.19999999999999,0.0,0.0,0,200.0,-0.01,-0.01,-0.01,347.94,0.0,survival,exploration,0,0,1,0,5.782411586589357e-19,early
85,search,-0.01,-0.01,633.3,16,Search the area for potential threats and items,,,,,[],False,455.49999999999994,0.0,0.0,1,177.8,-0.01,-0.01,-0.01,347.93999999999994,0.0,survival,exploration,0,0,1,0,0.003333333333333334,early
85,kick,0.0,0.011,176.5,12,Eat to regain health,,,,,[],False,-456.79999999999995,0.01,0.020999999999999998,0,633.3,-0.01,-0.01,-0.008,283.23999999999995,0.00447213595499958,survival,interaction,0,0,1,0,0.006999999999999999,early
85,eat,0.0,0.008,385.7,14,Search for items and potential threats,,,,,[],False,209.2,0.0,-0.002999999999999999,1,176.5,0.0,0.011,-0.006,314.65999999999997,0.005477225575051661,survival,item_use,0,0,1,0,0.005999999999999999,early
85,read,-0.01,-0.01,1550.0,14,Search the area for items and potential threats,,,,,[],False,1164.3,-0.01,-0.018000000000000002,0,385.7,0.0,0.008,-0.006,584.6600000000001,0.005477225575051661,survival,item_use,0,0,1,0,-1.1564823173178713e-18,early
90,move_northwest,0.0,0.001,200.0,14,Search the area for potential items and threats,,,,,[],False,-1350.0,0.01,0.011,0,1550.0,-0.01,-0.01,-0.003999999999999999,589.1,0.005477225575051661,survival,move,0,0,1,0,-0.003333333333333334,early
90,move_east,-0.01,-0.01,857.1,14,Search the area for items and potential threats,,,,,[],False,657.1,-0.01,-0.011,0,200.0,0.0,0.001,-0.004,633.86,0.005477225575051661,survival,move,0,0,1,0,-0.006000000000000001,early
90,wield,-0.01,-0.01,385.7,14,Search for items and potential threats,,,,,[],False,-471.40000000000003,0.0,0.0,0,857.1,-0.01,-0.01,-0.006,675.7,0.005477225575051661,survival,equipment,0,0,1,0,0.0,early
90,wait,-0.01,-0.01,250.0,14,Explore the surrounding area to gather more information,,,,,[],False,-135.7,0.0,0.0,0,385.7,-0.01,-0.01,-0.008,648.56,0.00447213595499958,exploration,other,0,0,1,0,-0.0036666666666666666,early
90,move_east,0.0,0.011,182.4,12,Investigate the recent message and decide on a direction,,,,,[],False,-67.6,0.01,0.020999999999999998,0,250.0,-0.01,-0.01,-0.006,375.04,0.005477225575051661,other,move,0,0,1,0,0.006999999999999999,early
90,move_northwest,0.0,0.011,683.3,16,Search the area for potential items and clues,,,,,[],False,500.9,0.0,0.0,1,182.4,0.0,0.011,-0.006,471.7,0.005477225575051661,exploration,move,0,0,1,0,0.006999999999999999,early
95,read,-0.01,-0.01,188.2,12,Investigate the recent message and decide on a direction,,,,,[],False,-495.09999999999997,-0.01,-0.020999999999999998,0,683.3,0.0,0.011,-0.006,337.92,0.005477225575051661,other,item_use,0,0,1,0,0.0,early
95,take_off,-0.01,-0.01,857.1,14,Search the area for potential items and threats,,,,,[],False,668.9000000000001,0.0,0.0,1,188.2,-0.01,-0.01,-0.006,432.2,0.005477225575051661,survival,equipment,0,0,1,0,-0.006999999999999999,early
95,move_southwest,-0.01,-0.01,385.7,14,Eat something to recover health,,,,,[],False,-471.40000000000003,0.0,0.0,0,857.1,-0.01,-0.01,-0.006,459.34,0.005477225575051661,survival,move,0,0,1,0,-0.006999999999999999,early
95,drop,-0.01,-0.01,250.0,14,Explore the surrounding area to gather more information,,,,,[],False,-135.7,0.0,0.0,0,385.7,-0.01,-0.01,-0.008,472.85999999999996,0.00447213595499958,exploration,inventory,0,0,1,0,0.0,early
95,read,-0.01,-0.01,320.0,14,Search the area for potential items and threats,,,,,[],False,70.0,0.0,0.0,0,250.0,-0.01,-0.01,-0.01,400.2,0.0,survival,item_use,0,0,1,0,0.0,early
