step,action,reward,smoothed_reward,hp,level,llm_advice,llm_data,advice_given_at_step,steps_since_advice,llm_priority,llm_risk,llm_strategy,hp_change,reward_change,sr_change,level_up,hp_lag1,reward_lag1,sr_lag1,level_lag1,reward_ma5,hp_ma5,reward_std5,advice_category,action_category,critical_hp,low_hp,high_hp,llm_suggestions,advice_keywords,action_matches_any_suggestion,action_matches_semantic,matched_suggestion,advice_text,advice_episode,alignment_window_matched,steps_until_match,episode_alignment_rate,episode_matched_in_window,followed_advice_strict,followed_advice_lenient,alignment_strength,followed_advice,episode_avg_reward,episode_reward_sum,episode_length
5,move_southwest,-0.01,-0.01,33.3,14,,,,,,,,-266.7,0.0,-0.01,0,300.0,-0.01,0.0,14.0,-0.008,447.38,0.00447213595499958,none,movement,1,1,0,[],set(),False,False,,,11,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
5,drop,-0.01,-0.01,2700.0,14,Investigate the recent message and provide a direction,,5.0,0.0,,,,2666.7,0.0,0.0,0,33.3,-0.01,-0.01,14.0,-0.008,911.6600000000001,0.00447213595499958,other,inventory,0,0,1,[],set(),False,False,,Investigate the recent message and provide a direction,12,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
10,throw,0.0,0.0,1433.3,16,Search the area for potential threats and items,,10.0,0.0,,,,-1266.7,0.01,0.01,1,2700.0,-0.01,-0.01,14.0,-0.006,1113.3200000000002,0.005477225575051661,survival,combat,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for potential threats and items,13,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
10,take_off,-0.01,-0.01,425.0,12,Eat something to regain health,,10.0,0.0,,,,-1008.3,-0.01,-0.01,0,1433.3,0.0,0.0,16.0,-0.008,978.32,0.00447213595499958,survival,equipment,0,0,1,[],"{'heal', 'eat'}",False,False,,Eat something to regain health,14,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
10,wield,-0.01,-0.01,280.0,14,Search the area for potential items and threats,,10.0,0.0,,,,-145.0,0.0,0.0,1,425.0,-0.01,-0.01,12.0,-0.008,974.32,0.00447213595499958,survival,equipment,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for potential items and threats,15,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
10,move_southwest,-0.01,-0.01,33.3,14,Eat something to recover health,,10.0,0.0,,,,-246.7,0.0,0.0,0,280.0,-0.01,-0.01,14.0,-0.008,974.32,0.00447213595499958,survival,movement,1,1,0,[],"{'heal', 'eat'}",False,False,,Eat something to recover health,16,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
10,move_south,-0.01,-0.01,400.0,14,Search for items and potential threats,,5.0,5.0,,,,366.7,0.0,0.0,0,33.3,-0.01,-0.01,14.0,-0.008,514.3199999999999,0.00447213595499958,survival,movement,0,0,1,[],"{'search', 'eat'}",False,True,search,Search for items and potential threats,17,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
10,move_north,-0.01,-0.01,933.3,14,Investigate the recent message and provide a direction,,5.0,5.0,,,,533.3,0.0,0.0,0,400.0,-0.01,-0.01,14.0,-0.01,414.32,0.0,other,movement,0,0,1,[],set(),False,False,,Investigate the recent message and provide a direction,18,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
15,kick,-0.01,-0.01,880.0,16,Search the area for potential threats and items,,10.0,5.0,,,,-53.299999999999955,0.0,0.0,1,933.3,-0.01,-0.01,14.0,-0.01,505.32,0.0,survival,combat,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for potential threats and items,19,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
15,throw,-0.01,-0.01,280.0,14,Search the area for potential items and threats,,10.0,5.0,,,,-600.0,0.0,0.0,0,880.0,-0.01,-0.01,16.0,-0.01,505.32,0.0,survival,combat,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for potential items and threats,20,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
15,close_door,0.0,0.011,392.3,14,Search the area for items and potential threats,,15.0,0.0,,,,112.30000000000001,0.01,0.020999999999999998,0,280.0,-0.01,-0.01,14.0,-0.008,577.12,0.00447213595499958,survival,interaction,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,21,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
15,take_off,-0.01,-0.02,425.0,12,Eat something to regain health,,10.0,5.0,,,,32.69999999999999,-0.01,-0.031,0,392.3,0.0,0.011,14.0,-0.008,582.12,0.00447213595499958,survival,equipment,0,0,1,[],"{'heal', 'eat'}",False,False,,Eat something to regain health,22,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
15,drop,-0.01,-0.01,1033.3,14,Search the area for items and potential threats,,15.0,0.0,,,,608.3,0.0,0.01,1,425.0,-0.01,-0.02,12.0,-0.008,602.12,0.00447213595499958,survival,inventory,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,23,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
15,move_northwest,0.0,0.011,60.0,14,Eat something to recover health,,10.0,5.0,,,,-973.3,0.01,0.020999999999999998,0,1033.3,-0.01,-0.01,14.0,-0.006,438.12,0.005477225575051661,survival,movement,0,1,0,[],"{'heal', 'eat'}",False,False,,Eat something to recover health,24,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
20,kick,0.0,0.012,325.0,14,Search the area for items and potential threats,,15.0,5.0,,,,265.0,0.0,0.0010000000000000009,0,60.0,0.0,0.011,14.0,-0.004,447.12,0.005477225575051661,survival,combat,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,25,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
20,move_southeast,-0.01,-0.009,162.5,14,Eat something to recover health,,20.0,0.0,,,,-162.5,-0.01,-0.020999999999999998,0,325.0,0.0,0.012,14.0,-0.006,401.15999999999997,0.005477225575051661,survival,movement,0,0,1,[],"{'heal', 'eat'}",False,False,,Eat something to recover health,26,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
20,read,-0.01,-0.01,700.0,16,Search the area for items and potential threats,,20.0,0.0,,,,537.5,0.0,-0.0010000000000000009,1,162.5,-0.01,-0.009,14.0,-0.006,456.16,0.005477225575051661,survival,item_use,0,0,1,[],"{'search', 'eat'}",False,True,eat,Search the area for items and potential threats,27,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
20,move_west,-0.01,-0.01,377.8,12,Search for items and clues to progress deeper,,20.0,0.0,,,,-322.2,0.0,0.0,0,700.0,-0.01,-0.01,16.0,-0.006,325.06,0.005477225575051661,exploration,movement,0,0,1,[],{'search'},False,True,search,Search for items and clues to progress deeper,28,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
20,open_door,0.0,0.001,1733.3,14,Search the area for items and potential threats,,15.0,5.0,,,,1355.5,0.01,0.011,1,377.8,-0.01,-0.01,12.0,-0.006,659.72,0.005477225575051661,survival,interaction,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,29,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
20,apply,-0.01,-0.01,33.3,14,Search the area for items and clues to gain more information about your surroundings.,,20.0,0.0,,,,-1700.0,-0.01,-0.011,0,1733.3,0.0,0.001,14.0,-0.008,601.38,0.00447213595499958,exploration,item_use,1,1,0,[],{'search'},False,False,,Search the area for items and clues to gain more information about your surroundings.,30,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
25,drink,0.0,0.008,2600.0,14,Search the area for items and potential threats,,25.0,0.0,,,,2566.7,0.01,0.018000000000000002,0,33.3,-0.01,-0.01,14.0,-0.006,1088.8799999999999,0.005477225575051661,survival,item_use,0,0,1,[],"{'search', 'eat'}",False,True,eat,Search the area for items and potential threats,31,True,0,0.5,True,1,1,0.5,1,-0.005,-0.01,2
25,wear,-0.01,-0.01,600.0,16,Search the area for items and potential threats,,20.0,5.0,,,,-2000.0,-0.01,-0.018000000000000002,1,2600.0,0.0,0.008,14.0,-0.006,1068.8799999999999,0.005477225575051661,survival,equipment,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,31,True,0,0.5,True,1,1,0.5,1,-0.005,-0.01,2
25,wield,0.0,0.0,425.0,12,Search for items and clues to progress deeper,,20.0,5.0,,,,-175.0,0.01,0.01,0,600.0,-0.01,-0.01,16.0,-0.003999999999999999,1078.3200000000002,0.005477225575051661,exploration,equipment,0,0,1,[],{'search'},False,False,,Search for items and clues to progress deeper,32,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
25,move_south,0.0,0.01,40.0,14,Search the area for items and clues to gain more information about your surroundings.,,20.0,5.0,,,,-385.0,0.0,0.01,1,425.0,0.0,0.0,12.0,-0.003999999999999999,739.6600000000001,0.005477225575051661,exploration,movement,1,1,0,[],{'search'},False,True,search,Search the area for items and clues to gain more information about your surroundings.,33,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
25,move_southwest,-0.01,-0.01,325.0,14,Eat something to regain health,,25.0,0.0,,,,285.0,-0.01,-0.02,0,40.0,0.0,0.01,14.0,-0.004,798.0,0.005477225575051661,survival,movement,0,0,1,[],"{'heal', 'eat'}",False,False,,Eat something to regain health,34,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
25,drink,-0.01,-0.01,162.5,14,Eat something to recover health,,20.0,5.0,,,,-162.5,0.0,0.0,0,325.0,-0.01,-0.01,14.0,-0.006,310.5,0.005477225575051661,survival,item_use,0,0,1,[],"{'heal', 'eat'}",False,True,heal,Eat something to recover health,35,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
30,search,-0.01,-0.01,283.3,14,Search for items and potential threats,,30.0,0.0,,,,120.80000000000001,0.0,0.0,0,162.5,-0.01,-0.01,14.0,-0.006,247.16,0.005477225575051661,survival,exploration,0,0,1,[],"{'search', 'eat'}",False,True,search,Search for items and potential threats,36,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
30,move_southeast,0.0,0.001,1733.3,14,Search the area for items and potential threats,,25.0,5.0,,,,1450.0,0.01,0.011,0,283.3,-0.01,-0.01,14.0,-0.006,508.82,0.005477225575051661,survival,movement,0,0,1,[],"{'search', 'eat'}",False,True,search,Search the area for items and potential threats,37,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
30,eat,-0.01,-0.01,331.2,14,Eat something to regain health,,25.0,5.0,,,,-1402.1,-0.01,-0.011,0,1733.3,0.0,0.001,14.0,-0.008,567.06,0.00447213595499958,survival,item_use,0,0,1,[],"{'heal', 'eat'}",False,True,heal,Eat something to regain health,38,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
30,pickup,0.0,0.001,366.7,12,Search the area for potential threats and items,,30.0,0.0,,,,35.5,0.01,0.011,0,331.2,-0.01,-0.01,14.0,-0.006,575.4,0.005477225575051661,survival,inventory,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for potential threats and items,39,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
30,kick,-0.01,-0.01,75.0,14,Eat something to regain health,,30.0,0.0,,,,-291.7,-0.01,-0.011,1,366.7,0.0,0.001,12.0,-0.006,557.9,0.005477225575051661,survival,combat,0,1,0,[],"{'heal', 'eat'}",False,False,,Eat something to regain health,40,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
30,move_northwest,-0.01,-0.01,600.0,16,Eat something to restore health,,30.0,0.0,,,,525.0,0.0,0.0,1,75.0,-0.01,-0.01,14.0,-0.006,621.24,0.005477225575051661,survival,movement,0,0,1,[],"{'rest', 'heal', 'eat'}",False,False,,Eat something to restore health,41,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
35,take_off,-0.01,-0.01,320.0,14,Search for items and potential threats,,30.0,5.0,,,,-280.0,0.0,0.0,0,600.0,-0.01,-0.01,16.0,-0.008,338.58000000000004,0.00447213595499958,survival,equipment,0,0,1,[],"{'search', 'eat'}",False,False,,Search for items and potential threats,42,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
35,wait,-0.01,-0.01,320.0,12,Search the area for potential threats and items,,30.0,5.0,,,,0.0,0.0,0.0,0,320.0,-0.01,-0.01,14.0,-0.008,336.34,0.00447213595499958,survival,waiting,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for potential threats and items,43,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
35,search,0.0,0.01,318.8,14,Search the area for items and potential threats,,35.0,0.0,,,,-1.1999999999999886,0.01,0.02,1,320.0,-0.01,-0.01,12.0,-0.008,326.76000000000005,0.00447213595499958,survival,exploration,0,0,1,[],"{'search', 'eat'}",False,True,search,Search the area for items and potential threats,44,True,0,1.0,True,1,1,1.0,1,0.0,0.0,2
35,move_east,0.0,0.001,2600.0,14,Search the area for items and potential threats,,35.0,0.0,,,,2281.2,0.0,-0.009000000000000001,0,318.8,0.0,0.01,14.0,-0.006,831.76,0.005477225575051661,survival,movement,0,0,1,[],"{'search', 'eat'}",False,True,search,Search the area for items and potential threats,44,True,0,1.0,True,1,1,1.0,1,0.0,0.0,2
35,drink,0.0,0.008,800.0,16,Eat something to restore health,,30.0,5.0,,,,-1800.0,0.0,0.007,1,2600.0,0.0,0.001,14.0,-0.003999999999999999,871.76,0.005477225575051661,survival,item_use,0,0,1,[],"{'rest', 'heal', 'eat'}",False,True,heal,Eat something to restore health,45,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
35,read,-0.01,-0.01,75.0,14,Eat something to regain health,,30.0,5.0,,,,-725.0,-0.01,-0.018000000000000002,0,800.0,0.0,0.008,16.0,-0.004,822.76,0.005477225575051661,survival,item_use,0,1,0,[],"{'heal', 'eat'}",False,True,heal,Eat something to regain health,46,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
40,move_east,-0.01,-0.009,340.0,14,Search the area for items and potential threats,,35.0,5.0,,,,265.0,0.0,0.0010000000000000009,0,75.0,-0.01,-0.01,14.0,-0.004,826.76,0.005477225575051661,survival,movement,0,0,1,[],"{'search', 'eat'}",False,True,search,Search the area for items and potential threats,47,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
40,move_southeast,0.0,0.001,585.7,16,Search the area for items and clues,,40.0,0.0,,,,245.70000000000005,0.01,0.009999999999999998,1,340.0,-0.01,-0.009,14.0,-0.004,880.14,0.005477225575051661,exploration,movement,0,0,1,[],{'search'},False,True,search,Search the area for items and clues,48,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
40,move_south,-0.01,-0.01,320.0,14,Eat something to recover health,,40.0,0.0,,,,-265.70000000000005,-0.01,-0.011,0,585.7,0.0,0.001,16.0,-0.006,424.14,0.005477225575051661,survival,movement,0,0,1,[],"{'heal', 'eat'}",False,False,,Eat something to recover health,49,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
40,move_southeast,-0.01,-0.01,866.7,14,Search the area for items and potential threats,,35.0,5.0,,,,546.7,0.0,0.0,0,320.0,-0.01,-0.01,14.0,-0.008,437.48,0.00447213595499958,survival,movement,0,0,1,[],"{'search', 'eat'}",False,True,search,Search the area for items and potential threats,50,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
40,move_north,-0.01,-0.02,75.0,14,Eat to regain health,,40.0,0.0,,,,-791.7,0.0,-0.01,0,866.7,-0.01,-0.01,14.0,-0.008,437.48,0.00447213595499958,survival,movement,0,1,0,[],"{'heal', 'eat'}",False,False,,Eat to regain health,51,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
40,throw,-0.01,-0.01,228.6,12,Search the area for items and clues,,40.0,0.0,,,,153.6,0.0,0.01,0,75.0,-0.01,-0.02,14.0,-0.008,415.2,0.00447213595499958,exploration,combat,0,0,1,[],{'search'},False,False,,Search the area for items and clues,52,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
45,wait,-0.01,-0.02,320.0,14,Eat something to recover health,,40.0,5.0,,,,91.4,0.0,-0.01,1,228.6,-0.01,-0.01,12.0,-0.01,362.06000000000006,0.0,survival,waiting,0,0,1,[],"{'heal', 'eat'}",False,False,,Eat something to recover health,53,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
45,move_north,-0.01,-0.01,700.0,16,Search the area for items and clues,,40.0,5.0,,,,380.0,0.0,0.01,1,320.0,-0.01,-0.02,14.0,-0.01,438.06000000000006,0.0,exploration,movement,0,0,1,[],{'search'},False,True,search,Search the area for items and clues,54,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
45,move_southeast,-0.01,-0.01,866.7,14,Search the area for hidden dangers and potential items,,45.0,0.0,,,,166.70000000000005,0.0,0.0,0,700.0,-0.01,-0.01,16.0,-0.01,438.06000000000006,0.0,defensive,movement,0,0,1,[],{'search'},False,True,search,Search the area for hidden dangers and potential items,55,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
45,take_off,-0.01,-0.01,331.2,14,Search the area for items and potential threats,,45.0,0.0,,,,-535.5,0.0,0.0,0,866.7,-0.01,-0.01,14.0,-0.01,489.3,0.0,survival,equipment,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,56,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
45,wait,-0.01,-0.01,100.0,14,Eat to regain health,,40.0,5.0,,,,-231.2,0.0,0.0,0,331.2,-0.01,-0.01,14.0,-0.01,463.58000000000004,0.0,survival,waiting,0,0,0,[],"{'heal', 'eat'}",False,False,,Eat to regain health,57,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
45,apply,-0.01,-0.01,206.7,12,Search the area for items and clues,,40.0,5.0,,,,106.69999999999999,0.0,0.0,0,100.0,-0.01,-0.01,14.0,-0.01,440.9200000000001,0.0,exploration,item_use,0,0,1,[],{'search'},False,False,,Search the area for items and clues,58,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
50,move_northeast,0.0,-0.001,100.0,14,Pick up the lock pick to gain a potential advantage,,50.0,0.0,,,,-106.69999999999999,0.01,0.009000000000000001,1,206.7,-0.01,-0.01,12.0,-0.008000000000000002,320.92,0.00447213595499958,other,movement,0,0,0,[],set(),False,False,,Pick up the lock pick to gain a potential advantage,59,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
50,move_north,-0.01,-0.01,600.0,16,Search the area for potential items and clues,,50.0,0.0,,,,500.0,-0.01,-0.009000000000000001,1,100.0,0.0,-0.001,14.0,-0.008,267.58000000000004,0.00447213595499958,exploration,movement,0,0,1,[],{'search'},False,True,search,Search the area for potential items and clues,60,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
50,wear,-0.01,-0.01,331.2,14,Search the area for items and potential threats,,45.0,5.0,,,,-268.8,0.0,0.0,0,600.0,-0.01,-0.01,16.0,-0.008,267.58,0.00447213595499958,survival,equipment,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,61,False,,0.0,False,0,0,0.0,0,-0.01,-0.02,2
50,wear,-0.01,-0.01,206.7,12,Search the area for items and potential threats,,50.0,0.0,,,,-124.5,0.0,0.0,0,331.2,-0.01,-0.01,14.0,-0.008,288.91999999999996,0.00447213595499958,survival,equipment,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,61,False,,0.0,False,0,0,0.0,0,-0.01,-0.02,2
50,move_east,-0.01,-0.009,2800.0,14,Search the area for hidden dangers and potential items,,45.0,5.0,,,,2593.3,0.0,0.0010000000000000009,1,206.7,-0.01,-0.01,12.0,-0.008,807.58,0.00447213595499958,defensive,movement,0,0,1,[],{'search'},False,True,search,Search the area for hidden dangers and potential items,62,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
50,drop,-0.01,-0.01,283.3,14,Search the area for potential threats and items,,50.0,0.0,,,,-2516.7,0.0,-0.0010000000000000009,0,2800.0,-0.01,-0.009,14.0,-0.01,844.24,0.0,survival,inventory,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for potential threats and items,63,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
55,throw,-0.01,-0.01,228.6,12,Search the area for items and potential threats,,50.0,5.0,,,,-54.70000000000002,0.0,0.0,0,283.3,-0.01,-0.01,14.0,-0.01,769.96,0.0,survival,combat,0,0,1,[],"{'search', 'eat'}",False,False,,Search the area for items and potential threats,64,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
55,wait,0.0,0.0,2850.0,14,Investigate the recent message and provide a direction,,55.0,0.0,,,,2621.4,0.01,0.01,1,228.6,-0.01,-0.01,12.0,-0.008000000000000002,1273.72,0.00447213595499958,other,waiting,0,0,1,[],set(),False,False,,Investigate the recent message and provide a direction,65,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
55,move_southeast,-0.01,-0.02,331.2,14,Eat something to restore health,,55.0,0.0,,,,-2518.8,-0.01,-0.02,0,2850.0,0.0,0.0,14.0,-0.008,1298.6200000000001,0.00447213595499958,survival,movement,0,0,1,[],"{'rest', 'heal', 'eat'}",False,False,,Eat something to restore health,66,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
55,move_northwest,-0.01,-0.01,100.0,14,Pick up the lock pick to gain a potential advantage,,50.0,5.0,,,,-231.2,0.0,0.01,0,331.2,-0.01,-0.02,14.0,-0.008,758.62,0.00447213595499958,other,movement,0,0,0,[],set(),False,False,,Pick up the lock pick to gain a potential advantage,67,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
55,move_west,0.0,0.01,571.4,16,Search the area for potential items and clues,,50.0,5.0,,,,471.4,0.01,0.02,1,100.0,-0.01,-0.01,14.0,-0.006,816.24,0.005477225575051661,exploration,movement,0,0,1,[],{'search'},False,True,search,Search the area for potential items and clues,68,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
55,apply,-0.01,-0.01,283.3,14,Search the area for potential threats and items,,50.0,5.0,,,,-288.09999999999997,-0.01,-0.02,0,571.4,0.0,0.01,16.0,-0.006,827.18,0.005477225575051661,survival,item_use,0,0,1,[],"{'search', 'eat'}",False,True,eat,Search the area for potential threats and items,69,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
60,move_east,-0.01,-0.01,246.2,12,Search the area for potential items and threats,,60.0,0.0,,,,-37.10000000000002,0.0,0.0,0,283.3,-0.01,-0.01,14.0,-0.008,306.41999999999996,0.00447213595499958,survival,movement,0,0,1,[],"{'search', 'eat'}",False,True,search,Search the area for potential items and threats,70,True,0,1.0,True,1,1,1.0,1,-0.01,-0.01,1
60,move_northwest,0.0,0.011,1160.0,14,Investigate the recent message and provide a direction,,55.0,5.0,,,,913.8,0.01,0.020999999999999998,1,246.2,-0.01,-0.01,12.0,-0.006,472.17999999999995,0.005477225575051661,other,movement,0,0,1,[],set(),False,False,,Investigate the recent message and provide a direction,71,False,,0.0,False,0,0,0.0,0,0.0,0.0,1
60,move_northeast,0.0,0.009,140.0,14,Search the area for potential threats and items,,60.0,0.0,,,,-1020.0,0.0,-0.002,0,1160.0,0.0,0.011,14.0,-0.004,480.17999999999995,0.005477225575051661,survival,movement,0,0,0,[],"{'search', 'eat'}",False,True,search,Search the area for potential threats and items,72,True,0,1.0,True,1,1,1.0,1,0.0,0.0,1
60,search,-0.01,-0.01,571.4,16,Eat something to regain health,,60.0,0.0,,,,431.4,-0.01,-0.019,1,140.0,0.0,0.009,14.0,-0.006,480.18,0.005477225575051661,survival,exploration,0,0,1,[],"{'heal', 'eat'}",False,False,,Eat something to regain health,73,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
60,throw,-0.01,-0.01,100.0,14,Search the area for potential threats and items,,60.0,0.0,,,,-471.4,0.0,0.0,0,571.4,-0.01,-0.01,16.0,-0.006,443.52,0.005477225575051661,survival,combat,0,0,0,[],"{'search', 'eat'}",False,False,,Search the area for potential threats and items,74,False,,0.0,False,0,0,0.0,0,-0.01,-0.01,1
