advice_episode,start_step,end_step,episode_length,llm_advice,advice_category,llm_priority,alignment_rate,followed_advice,first_action_matches,total_reward,avg_reward,final_sr,sr_change,hp_start,hp_end,hp_change,level_ups,hp_at_advice,reward_before,sr_before,critical_hp_at_start,level_at_start,most_common_action,unique_actions
30,30,35,5,Search the area for potential threats and items,survival,,0.0,0,False,-0.04,-0.008,-0.01,-0.011,366.7,320.0,-11.199999999999989,2,331.2,-0.01,-0.01,0,12,combat,5
31,35,35,2,Search the area for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.001,-0.009000000000000001,318.8,2600.0,2280.0,1,320.0,-0.01,-0.01,0,14,exploration,2
32,35,35,2,Eat something to restore health,survival,,0.0,0,False,-0.01,-0.005,-0.01,-0.018000000000000002,800.0,75.0,-2525.0,1,2600.0,0.0,0.001,0,16,item_use,2
33,40,40,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.009,0.0,340.0,340.0,265.0,0,75.0,-0.01,-0.01,0,14,movement,1
34,40,40,2,Search the area for items and clues,exploration,,0.0,0,False,-0.01,-0.005,-0.01,-0.011,585.7,320.0,-20.0,1,340.0,-0.01,-0.009,0,16,movement,2
35,40,40,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,866.7,866.7,546.7,0,320.0,-0.01,-0.01,0,14,movement,1
36,40,45,4,Eat to regain health,survival,,0.0,0,False,-0.04,-0.01,-0.01,0.01,75.0,700.0,-166.70000000000005,2,866.7,-0.01,-0.01,0,14,movement,3
37,45,45,2,Search the area for hidden dangers and potential items,defensive,,0.0,0,False,-0.02,-0.01,-0.01,0.0,866.7,331.2,-368.79999999999995,0,700.0,-0.01,-0.01,0,14,equipment,2
38,45,45,2,Eat to regain health,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,100.0,206.7,-124.5,0,331.2,-0.01,-0.01,0,14,item_use,2
39,50,50,2,Pick up the lock pick to gain a potential advantage,inventory,,0.0,0,False,-0.01,-0.005,-0.01,-0.009000000000000001,100.0,600.0,393.3,2,206.7,-0.01,-0.01,0,14,movement,2
40,50,50,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,331.2,331.2,-268.8,0,600.0,-0.01,-0.01,0,14,equipment,1
41,50,50,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,206.7,206.7,-124.5,0,331.2,-0.01,-0.01,0,12,equipment,1
42,50,50,1,Search the area for hidden dangers and potential items,defensive,,0.0,0,False,-0.01,-0.01,-0.009,0.0,2800.0,2800.0,2593.3,1,206.7,-0.01,-0.01,0,14,movement,1
43,50,55,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,283.3,228.6,-2571.3999999999996,0,2800.0,-0.01,-0.009,0,14,combat,2
44,55,55,2,Investigate the recent message and provide a direction,movement,,0.0,0,False,-0.01,-0.005,-0.02,-0.02,2850.0,331.2,102.59999999999991,1,228.6,-0.01,-0.01,0,14,movement,2
45,55,55,3,Pick up the lock pick to gain a potential advantage,inventory,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,0.0,100.0,283.3,-47.89999999999998,1,331.2,-0.01,-0.02,0,14,movement,3
46,60,60,1,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,246.2,246.2,-37.10000000000002,0,283.3,-0.01,-0.01,0,12,movement,1
47,60,60,1,Investigate the recent message and provide a direction,movement,,0.0,0,False,0.0,0.0,0.011,0.0,1160.0,1160.0,913.8,1,246.2,-0.01,-0.01,0,14,movement,1
48,60,60,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,-0.019,140.0,100.0,-1060.0,1,1160.0,0.0,0.011,0,14,combat,3
49,60,60,1,Eat something to restore health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,331.2,331.2,231.2,0,100.0,-0.01,-0.01,0,14,movement,1
50,65,65,4,Search the area for potential items and threats,survival,,0.0,0,False,-0.04,-0.01,-0.01,0.0,246.2,100.0,-231.2,1,331.2,-0.01,-0.02,0,12,equipment,4
51,65,65,2,Search the area for items and clues to gain more experience,exploration,,0.0,0,False,-0.02,-0.01,-0.01,0.0,1016.7,430.8,330.79999999999995,0,100.0,-0.01,-0.01,0,14,combat,2
52,70,70,3,Search the area for potential items and clues,exploration,,0.0,0,False,-0.01,-0.0033333333333333335,-0.02,-0.028999999999999998,633.3,100.0,-330.8,1,430.8,-0.01,-0.01,0,16,interaction,3
53,70,70,1,Search the area for items and clues to gain more experience,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1033.3,1033.3,933.3,0,100.0,-0.01,-0.02,0,14,movement,1
54,70,70,1,Eat something to recover health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,228.6,228.6,-804.6999999999999,0,1033.3,-0.01,-0.01,0,12,exploration,1
55,70,70,1,Eat something to recover health,survival,,0.0,0,False,0.0,0.0,0.0,0.0,466.7,466.7,238.1,1,228.6,-0.01,-0.01,0,14,item_use,1
56,75,75,1,Search the area for potential items and clues,exploration,,0.0,0,False,0.0,0.0,0.007,0.0,875.0,875.0,408.3,1,466.7,0.0,0.0,0,16,interaction,1
57,75,75,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1180.0,1180.0,305.0,0,875.0,0.0,0.007,0,14,item_use,1
58,75,75,2,Eat something to recover health,survival,,0.0,0,False,-0.02,-0.01,-0.02,-0.01,228.6,100.0,-1080.0,1,1180.0,-0.01,-0.01,0,12,interaction,2
59,75,75,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,500.0,500.0,400.0,0,100.0,-0.01,-0.02,0,14,inventory,1
60,75,75,1,Eat something to regain health,survival,,0.0,0,False,0.0,0.0,0.011,0.0,116.7,116.7,-383.3,0,500.0,-0.01,-0.01,0,14,movement,1
61,80,80,1,Search the area for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.0,0.0,1160.0,1160.0,1043.3,0,116.7,0.0,0.011,0,14,movement,1
62,80,80,3,Search for items and potential threats,survival,,0.0,0,False,-0.03,-0.01,-0.01,0.0,177.8,633.3,-526.7,1,1160.0,0.0,0.0,0,14,equipment,3
63,80,80,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,500.0,500.0,-133.29999999999995,0,633.3,-0.01,-0.01,0,14,movement,1
64,80,85,5,Eat to regain health,survival,,0.0,0,False,-0.04,-0.008,0.011,0.031,228.6,176.5,-323.5,2,500.0,-0.01,-0.01,0,12,exploration,4
65,85,85,2,Search for items and potential threats,survival,,0.0,0,False,-0.01,-0.005,-0.01,-0.018000000000000002,385.7,1550.0,1373.5,1,176.5,0.0,0.011,0,14,item_use,2
66,90,90,1,Search the area for potential items and threats,survival,,0.0,0,False,0.0,0.0,0.001,0.0,200.0,200.0,-1350.0,0,1550.0,-0.01,-0.01,0,14,movement,1
67,90,90,2,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,857.1,385.7,185.7,0,200.0,0.0,0.001,0,14,equipment,2
68,90,95,4,Explore the surrounding area to gather more information,exploration,,0.0,0,False,-0.02,-0.005,-0.01,0.0,250.0,188.2,-197.49999999999994,1,385.7,-0.01,-0.01,0,14,movement,4
69,95,95,2,Search the area for potential items and threats,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,857.1,385.7,197.50000000000006,1,188.2,-0.01,-0.01,0,14,equipment,2
70,95,95,3,Explore the surrounding area to gather more information,exploration,,0.0,0,False,-0.03,-0.01,-0.01,0.0,250.0,650.0,264.3,1,385.7,-0.01,-0.01,0,14,inventory,3
71,100,100,3,Search the area for potential items and clues,exploration,,0.0,0,False,-0.03,-0.01,-0.02,-0.01,585.7,250.0,-400.0,0,650.0,-0.01,-0.01,0,16,movement,3
72,100,100,2,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.005,0.008,0.028,857.1,312.5,62.5,0,250.0,-0.01,-0.02,0,14,interaction,2
73,100,105,4,Search the area for items and potential threats,survival,,0.0,0,False,-0.04,-0.01,-0.02,-0.01,200.0,250.0,-62.5,2,312.5,0.0,0.008,0,12,movement,4
74,105,105,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,857.1,857.1,607.1,0,250.0,-0.01,-0.02,0,14,exploration,1
75,105,105,1,Search for items and potential dangers,defensive,,0.0,0,False,0.0,0.0,0.0,0.0,200.0,200.0,-657.1,0,857.1,-0.01,-0.02,0,14,combat,1
76,105,110,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.005,-0.02,-0.028999999999999998,371.4,857.1,657.1,0,200.0,0.0,0.0,0,14,combat,2
77,110,110,1,Explore the area and search for items,exploration,,0.0,0,False,-0.01,-0.01,-0.02,0.0,200.0,200.0,-657.1,0,857.1,-0.01,-0.02,0,12,item_use,1
78,110,110,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,400.0,400.0,200.0,1,200.0,-0.01,-0.02,0,14,item_use,1
79,110,115,6,Eat something to regain health,survival,,0.0,0,False,-0.04,-0.006666666666666667,-0.01,-0.009000000000000001,571.4,600.0,200.0,3,400.0,-0.01,-0.01,0,16,equipment,6
80,115,115,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,325.0,325.0,-275.0,0,600.0,-0.01,-0.01,0,14,exploration,1
81,115,115,1,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,200.0,200.0,-125.0,0,325.0,-0.01,-0.01,0,14,interaction,1
82,115,115,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.01,0.0,1220.0,1220.0,1020.0,0,200.0,-0.01,-0.01,0,14,movement,1
83,120,120,3,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.0033333333333333335,-0.01,-0.019,716.7,200.0,-1020.0,2,1220.0,0.0,0.01,0,16,inventory,3
84,120,120,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.0,0.0,1033.3,1033.3,833.3,0,200.0,-0.01,-0.01,0,14,equipment,1
85,120,120,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,177.8,177.8,-855.5,0,1033.3,0.0,0.0,0,14,exploration,1
86,120,120,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,371.4,371.4,193.59999999999997,0,177.8,-0.01,-0.01,0,14,item_use,1
87,125,125,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,160.0,160.0,-211.39999999999998,0,371.4,-0.01,-0.01,0,14,equipment,1
88,125,125,1,Search the area for items and clues,exploration,,0.0,0,False,0.0,0.0,0.0,0.0,384.6,384.6,224.60000000000002,0,160.0,-0.01,-0.01,0,14,inventory,1
89,125,125,2,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.005,0.0,0.01,585.7,188.2,-196.40000000000003,1,384.6,0.0,0.0,0,16,item_use,2
90,125,125,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,2900.0,2900.0,2711.8,1,188.2,0.0,0.0,0,14,combat,1
91,125,125,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,177.8,177.8,-2722.2,0,2900.0,-0.01,-0.01,0,14,equipment,1
92,130,130,2,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.005,-0.003,0.007,160.0,170.6,-7.200000000000017,0,177.8,-0.01,-0.02,0,14,combat,2
93,130,130,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,614.3,614.3,443.69999999999993,1,170.6,0.0,-0.003,0,14,item_use,1
94,130,130,2,Search the area for items and clues,exploration,,0.0,0,False,-0.01,-0.005,-0.02,-0.021,1466.7,177.8,-436.5,1,614.3,-0.01,-0.01,0,16,interaction,2
95,130,130,1,Search the area for items and clues,exploration,,0.0,0,False,0.0,0.0,0.0,0.0,384.6,384.6,206.8,0,177.8,-0.01,-0.02,0,14,inventory,1
96,135,135,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,177.8,177.8,-206.8,0,384.6,0.0,0.0,0,14,interaction,1
97,135,135,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.0,0.0,614.3,614.3,436.49999999999994,0,177.8,-0.01,-0.02,0,14,combat,1
98,135,135,2,Search the area for potential threats and opportunities,survival,,0.0,0,False,-0.02,-0.01,-0.02,-0.01,213.3,160.0,-454.29999999999995,1,614.3,0.0,0.0,0,12,combat,2
99,135,135,1,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,384.6,384.6,224.60000000000002,0,160.0,-0.01,-0.02,0,14,movement,1
100,135,135,1,Search the area for items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1466.7,1466.7,1082.1,1,384.6,-0.01,-0.01,0,16,inventory,1
101,140,140,1,Heal and recover from recent damage,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1300.0,1300.0,-166.70000000000005,0,1466.7,-0.01,-0.01,0,16,other,1
102,140,140,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,0.001,0.0,733.3,733.3,-566.7,0,1300.0,-0.01,-0.01,0,14,movement,1
103,140,140,1,Eat something to regain health,survival,,0.0,0,False,0.0,0.0,-0.01,0.0,160.0,160.0,-573.3,0,733.3,-0.01,0.001,0,14,movement,1
104,140,140,1,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,318.8,318.8,158.8,0,160.0,0.0,-0.01,0,14,movement,1
105,140,145,4,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.005,-0.01,-0.014,320.0,133.3,-185.5,1,318.8,-0.01,-0.01,0,14,movement,4
106,145,145,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.0,0.0,318.8,318.8,185.5,0,133.3,-0.01,-0.01,0,14,movement,1
107,145,145,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.005,-0.01,-0.018000000000000002,200.0,246.2,-72.60000000000002,0,318.8,0.0,0.0,0,14,item_use,2
108,145,150,2,Search the area for items and clues,exploration,,0.0,0,False,0.0,0.0,-0.001,-0.001,614.3,346.7,100.5,1,246.2,-0.01,-0.01,0,14,item_use,2
109,150,150,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,925.0,171.4,-175.30000000000007,1,346.7,0.0,-0.001,0,16,equipment,2
110,150,150,1,Search the area for items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,614.3,614.3,442.9,0,171.4,-0.01,-0.01,0,14,exploration,1
111,150,155,4,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.005,0.01,0.01,228.6,71.4,-542.9,2,614.3,-0.01,-0.01,0,12,item_use,4
112,155,155,1,Search for food and assess threat from kobold,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,614.3,614.3,542.9,0,71.4,0.0,0.01,0,14,equipment,1
113,155,155,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.0,0.0,188.2,188.2,-426.09999999999997,0,614.3,-0.01,-0.02,0,12,exploration,1
114,155,155,1,Search for items and potential threats,survival,,0.0,0,False,0.0,0.0,-0.001,0.0,384.6,384.6,196.40000000000003,1,188.2,0.0,0.0,0,14,other,1
115,155,155,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,144.4,144.4,-240.20000000000002,0,384.6,0.0,-0.001,0,14,item_use,1
116,160,160,2,Eat to restore health,survival,,0.0,0,False,0.0,0.0,0.009,0.009999999999999998,925.0,183.3,38.89999999999998,1,144.4,-0.01,-0.01,0,16,movement,2
117,160,160,1,Search for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,384.6,384.6,201.3,0,183.3,0.0,0.009,0,14,item_use,1
118,160,160,1,Search the area for potential items and clues,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,188.2,188.2,-196.40000000000003,0,384.6,-0.01,-0.01,0,12,movement,1
119,160,160,1,Search for food and assess threat from kobold,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,614.3,614.3,426.09999999999997,1,188.2,-0.01,-0.01,0,14,item_use,1
120,160,165,2,Search the area for potential items and clues,exploration,,0.0,0,False,-0.02,-0.01,-0.01,0.0,160.0,188.2,-426.09999999999997,0,614.3,-0.01,-0.02,0,14,equipment,2
121,165,165,2,Search the area for potential items and threats,survival,,0.0,0,False,-0.02,-0.01,-0.02,-0.01,384.6,614.3,426.09999999999997,1,188.2,-0.01,-0.01,0,14,equipment,1
122,165,165,3,Eat to restore health,survival,,0.0,0,False,-0.01,-0.0033333333333333335,0.001,0.011,950.0,133.3,-480.99999999999994,1,614.3,-0.01,-0.02,0,16,movement,3
123,170,170,2,Search the area for potential items or clues,exploration,,0.0,0,False,-0.02,-0.01,-0.01,0.0,160.0,240.0,106.69999999999999,0,133.3,0.0,0.001,0,14,equipment,2
124,170,170,1,Search the area for potential items and threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,312.5,312.5,72.5,0,240.0,-0.01,-0.01,0,14,movement,1
125,170,170,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,0.012,0.0,650.0,650.0,337.5,1,312.5,-0.01,-0.01,0,16,inventory,1
126,170,170,1,Eat something to regain health,survival,,0.0,0,False,0.0,0.0,0.0,0.0,733.3,733.3,83.29999999999995,0,650.0,0.0,0.012,0,14,equipment,1
127,170,175,2,Search the area for potential items and clues,exploration,,0.0,0,False,-0.01,-0.005,0.0,0.02,188.2,116.7,-616.5999999999999,1,733.3,0.0,0.0,0,12,exploration,2
128,175,175,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,312.5,312.5,195.8,0,116.7,0.0,0.0,0,14,other,1
129,175,175,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.01,-0.01,0.0,733.3,240.0,-72.49999999999994,2,312.5,-0.01,-0.01,0,16,exploration,3
130,175,175,1,Prioritize moving away from the kobold and goblin threats,survival,,0.0,0,False,0.0,0.0,0.0,0.0,614.3,614.3,374.29999999999995,0,240.0,-0.01,-0.01,0,14,movement,1
131,180,180,2,Eat something to restore health,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,733.3,116.7,-497.5999999999999,1,614.3,0.0,0.0,0,16,combat,2
132,180,180,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,400.0,400.0,283.3,0,116.7,-0.01,-0.01,0,14,equipment,1
133,180,180,2,Search the area for items and clues,exploration,,0.0,0,False,-0.01,-0.005,-0.02,-0.02,228.6,240.0,-160.0,1,400.0,-0.01,-0.01,0,12,inventory,1
134,180,180,1,Prioritize moving away from the kobold and goblin threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1633.3,1633.3,1393.3,0,240.0,-0.01,-0.02,0,14,item_use,1
135,185,185,1,Avoid immediate threats from kobolds,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,716.7,716.7,-916.5999999999999,0,1633.3,-0.01,-0.01,0,14,inventory,1
136,185,185,4,Search the area for items and clues,exploration,,0.0,0,False,-0.02,-0.005,0.009,0.019,228.6,840.0,123.29999999999995,2,716.7,-0.01,-0.01,0,12,movement,3
137,185,185,1,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.01,-0.011,0.0,378.6,378.6,-461.4,0,840.0,0.0,0.009,0,14,movement,1
138,190,190,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,840.0,840.0,461.4,1,378.6,-0.01,-0.011,0,16,equipment,1
139,190,190,1,Search the area for potential threats and items,survival,,0.0,0,False,0.0,0.0,-0.001,0.0,407.7,407.7,-432.3,0,840.0,-0.01,-0.01,0,14,other,1
140,190,190,2,Search the area for potential items and clues,exploration,,0.0,0,False,-0.02,-0.01,-0.02,-0.01,240.0,116.7,-291.0,0,407.7,0.0,-0.001,0,14,exploration,2
141,190,190,1,Avoid immediate threats from kobolds,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,614.3,614.3,497.59999999999997,0,116.7,-0.01,-0.02,0,14,exploration,1
142,190,195,2,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.005,-0.01,-0.01,228.6,280.0,-334.29999999999995,1,614.3,-0.01,-0.01,0,12,combat,2
143,195,195,2,Prioritize clearing the immediate threats (kobold and goblins) to ensure survival.,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,614.3,333.3,53.30000000000001,0,280.0,-0.01,-0.01,0,14,item_use,2
144,195,195,3,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.006666666666666667,-0.01,0.0,246.2,133.3,-200.00000000000006,1,333.3,-0.01,-0.01,0,12,equipment,3
145,200,200,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.02,-0.01,312.5,614.3,480.99999999999994,0,133.3,-0.01,-0.01,0,14,equipment,2
146,200,205,5,Search the area for items and potential threats,survival,,0.0,0,False,-0.03,-0.006,-0.01,0.0,246.2,100.0,-514.3,1,614.3,-0.01,-0.02,0,12,item_use,5
147,205,205,2,Search the area for items and potential threats,survival,,0.0,0,False,-0.02,-0.01,-0.02,-0.01,312.5,614.3,514.3,0,100.0,-0.01,-0.01,0,14,movement,2
148,205,205,3,Search the area for potential threats and items,survival,,0.0,0,False,-0.01,-0.0033333333333333335,0.01,0.02,40.0,290.9,-323.4,1,614.3,-0.01,-0.02,1,14,movement,3
149,210,210,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,415.4,415.4,124.5,1,290.9,0.0,0.01,0,14,item_use,1
150,210,210,3,Search the area for potential items and threats,survival,,0.0,0,False,0.0,0.0,0.002,-0.006999999999999999,133.3,425.0,9.600000000000136,1,415.4,-0.01,-0.01,0,14,inventory,2
151,210,210,1,Investigate the kobold threat northwest,survival,,0.0,0,False,0.0,0.0,-0.01,0.0,614.3,614.3,189.29999999999995,1,425.0,0.0,0.002,0,14,equipment,1
